Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
Q99942	RNF5_HUMAN	RNF5	E3 ubiquitin-protein ligase RNF5	1.90548e+06	1.62583e+06	1.95721e+06	1.5793e+06	1.76746e+06	1.81388e+06
Q99943	PLCA_HUMAN	AGPAT1	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	474561	331282	505327	549956	420083	386562
Q99956	DUS9_HUMAN	DUSP9	Dual specificity protein phosphatase 9	1.8245e+06	1.70746e+06	1.63986e+06	1.74791e+06	1.86969e+06	1.77719e+06
Q99959	PKP2_HUMAN	PKP2	Plakophilin-2	541357	676214	782093	710038	555120	628370
Q99961	SH3G1_HUMAN	SH3GL1	Endophilin-A2	1.32153e+07	1.37925e+07	1.44152e+07	1.29711e+07	1.30431e+07	1.34058e+07
Q99986	VRK1_HUMAN	VRK1	Serine/threonine-protein kinase VRK1	2.74495e+07	2.74592e+07	2.82969e+07	2.74269e+07	2.65858e+07	2.61372e+07
Q99996	AKAP9_HUMAN	AKAP9	A-kinase anchor protein 9	2.78319e+07	2.33161e+07	2.25852e+07		2.19458e+07	1.81406e+07
Q9BI71;Q9BI72				770302	522836	444445	981662	766715	588056
Q9BI88	U587_CAEEL	F46B6.12	UPF0587 protein F46B6.12	1.9333e+06	1.85354e+06	1.57589e+06	1.89702e+06	2.22183e+06	2.41201e+06
Q9BIB7				2.62087e+06	2.87839e+06	2.84042e+06	3.57985e+06	3.53191e+06	3.30507e+06
Q9BIB8				1.78034e+06	1.91236e+06	2.03125e+06	2.23193e+06	2.34361e+06	2.3315e+06
Q9BIC3;Q9GYT0				1.99542e+07	2.03491e+07	2.11214e+07	2.51623e+07	2.5569e+07	2.54002e+07
Q9BKP7					487337		448520	737436	672151
Q9BKP8				5.01956e+06	5.27322e+06	3.48243e+06	6.67642e+06	6.51531e+06	6.97656e+06
Q9BKQ9				1.0107e+07	9.44093e+06	9.31597e+06	1.12901e+07	1.05649e+07	1.12966e+07
Q9BKR5				350145	309769	655427	660471	783403	613800
Q9BKS1				3.69736e+06	3.13826e+06	2.77844e+06	4.24127e+06	3.99928e+06	3.81304e+06
Q9BKT9				1.46797e+06	1.32304e+06	1.35171e+06	1.87384e+06	1.93925e+06	1.6319e+06
Q9BKU3				7.68761e+06	7.13835e+06	8.06208e+06	9.2971e+06	9.88092e+06	1.00493e+07
Q9BKU4	PHB1_CAEEL	phb-1	Mitochondrial prohibitin complex protein 1	4.23241e+07	4.48515e+07	4.60763e+07	5.26167e+07	5.60242e+07	5.56287e+07
Q9BKU5				9.77357e+07	9.67131e+07	1.05077e+08	1.16682e+08	1.15384e+08	1.20444e+08
Q9BL03				1.99449e+07	2.10623e+07	1.97208e+07	2.45101e+07	2.54236e+07	2.48051e+07
Q9BL07	PLBL3_CAEEL	Y54F10AM.8	Putative phospholipase B-like 3	6.36791e+06	5.77818e+06	5.37084e+06	6.99897e+06	7.33462e+06	6.84172e+06
Q9BL15				2.36066e+06	2.1638e+06	2.2455e+06	2.97577e+06	2.90079e+06	2.95072e+06
Q9BL19	RL17_CAEEL	rpl-17	60S ribosomal protein L17	1.45768e+08	1.37822e+08	1.44141e+08	1.60177e+08	1.76896e+08	1.78469e+08
Q9BL33				3.14044e+06	3.50431e+06	3.78698e+06	4.40739e+06	3.94399e+06	4.14031e+06
Q9BL34				8.99546e+06	9.06931e+06	9.53908e+06	1.08174e+07	1.09186e+07	1.19959e+07
Q9BL35					848895	482059	719976	529591	682952
Q9BL43					626063	382085	747734	504906	398397
Q9BL46				4.04016e+06	4.51943e+06	3.98969e+06	5.25714e+06	5.26814e+06	5.23168e+06
Q9BL48				839129	926236	1.03848e+06	1.19549e+06	1.17799e+06	1.09534e+06
Q9BL56				169010	207946	200861	244005	196267	258762
Q9BL64				901298	984089	625260	1.0795e+06	1.18967e+06	1.38432e+06
Q9BL73				249537		342070	326645	349259	456596
Q9BL81				4.06165e+06	3.6263e+06	4.16467e+06	4.9598e+06	4.79184e+06	5.04276e+06
Q9BL83				3.62593e+06	3.44425e+06	3.75471e+06	4.88886e+06	4.6866e+06	4.75323e+06
Q9BL86				1.32384e+06	1.41872e+06	1.30175e+06	1.72744e+06	1.66838e+06	1.63313e+06
Q9BL94				895409	869222	762004	906788	1.01201e+06	809488
Q9BLB6	RU2A_CAEEL	mog-2	Probable U2 small nuclear ribonucleoprotein A'	7.09542e+06	7.27784e+06	6.84237e+06	9.6984e+06	9.14983e+06	8.18879e+06
Q9BMU4				2.7781e+06	3.13071e+06	2.86145e+06	3.2235e+06	3.78865e+06	3.82835e+06
Q9BPN5				1.48866e+06	1.37232e+06	1.49777e+06	2.23268e+06	1.97137e+06	1.88377e+06
Q9BPN6				1.22916e+06	1.37556e+06	1.02871e+06	1.39997e+06	1.3998e+06	1.67449e+06
Q9BPN8	Y92H3_CAEEL	Y92H12BR.3	Uncharacterized protein Y92H12BR.3	2.00992e+06	1.91473e+06	2.07939e+06	2.39435e+06	2.31472e+06	2.36723e+06
Q9BPP1									730231
Q9BPW8	NIPS1_HUMAN	NIPSNAP1	Protein NipSnap homolog 1	2.70482e+06	2.62797e+06	2.80328e+06	2.53145e+06	2.31476e+06	2.21104e+06
Q9BPX3	CND3_HUMAN	NCAPG	Condensin complex subunit 3	6.90742e+06	7.42492e+06	7.11934e+06	6.97709e+06	6.69353e+06	7.07316e+06
Q9BPX5	ARP5L_HUMAN	ARPC5L	Actin-related protein 2/3 complex subunit 5-like protein	5.39991e+06	5.56541e+06	5.43049e+06	4.95121e+06	5.55776e+06	4.94938e+06
Q9BPX6	MICU1_HUMAN	MICU1	Calcium uptake protein 1, mitochondrial	1.96215e+06	1.88502e+06	1.64989e+06	2.07823e+06	1.85069e+06	1.80359e+06
Q9BPZ7	SIN1_HUMAN	MAPKAP1	Target of rapamycin complex 2 subunit MAPKAP1	1.89959e+06	1.92432e+06	2.39257e+06	1.7251e+06	1.928e+06	2.175e+06
Q9BQ04	RBM4B_HUMAN	RBM4B	RNA-binding protein 4B	897648	801914	898838	1.11565e+06	928204	672095
Q9BQ15	SOSB1_HUMAN	NABP2	SOSS complex subunit B1	2.0174e+06	2.14779e+06	2.12666e+06	1.84806e+06	2.20204e+06	2.12577e+06
Q9BQ39	DDX50_HUMAN	DDX50	ATP-dependent RNA helicase DDX50	6.175e+06	6.63086e+06	7.25856e+06	6.39674e+06	6.95336e+06	6.37699e+06
Q9BQ48	RM34_HUMAN	MRPL34	39S ribosomal protein L34, mitochondrial	3.56385e+06	3.76462e+06	3.64852e+06	3.69082e+06	3.35507e+06	3.46743e+06
Q9BQ52	RNZ2_HUMAN	ELAC2	Zinc phosphodiesterase ELAC protein 2	4.78282e+06	4.49161e+06	4.722e+06	4.1472e+06	4.5212e+06	4.50378e+06
Q9BQ61	TRIR_HUMAN	TRIR	Telomerase RNA component interacting RNase	1.45031e+07	1.47355e+07	1.3793e+07	1.49604e+07	1.5037e+07	1.53843e+07
Q9BQ67	GRWD1_HUMAN	GRWD1	Glutamate-rich WD repeat-containing protein 1	1.03189e+07	1.06748e+07	1.05356e+07	1.06071e+07	1.03995e+07	9.61814e+06
Q9BQ69	MACD1_HUMAN	MACROD1	ADP-ribose glycohydrolase MACROD1	3.2224e+07	3.33551e+07	3.37186e+07	3.1e+07	3.06989e+07	2.99703e+07
Q9BQ70	TCF25_HUMAN	TCF25	Transcription factor 25	1.05529e+06	1.19185e+06	1.118e+06	1.25697e+06	1.10408e+06	1.05695e+06
Q9BQ75	CMS1_HUMAN	CMSS1	Protein CMSS1	7.82963e+06	7.94021e+06	7.02035e+06	7.67695e+06	6.97393e+06	6.78338e+06
Q9BQ95	ECSIT_HUMAN	ECSIT	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	2.41022e+06	2.33474e+06	2.63263e+06	2.30201e+06	2.59382e+06	2.46067e+06
Q9BQA1	MEP50_HUMAN	WDR77	Methylosome protein 50	1.08916e+07	1.07252e+07	1.06462e+07	1.08061e+07	1.08276e+07	1.06828e+07
Q9BQB6	VKOR1_HUMAN	VKORC1	Vitamin K epoxide reductase complex subunit 1	2.19781e+07	2.148e+07	2.38269e+07	2.30561e+07	2.25409e+07	2.24183e+07
Q9BQC3	DPH2_HUMAN	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	1.84766e+06	1.95365e+06	1.85584e+06	1.82859e+06	1.97011e+06	2.07221e+06
Q9BQC6	RT63_HUMAN	MRPL57	Ribosomal protein 63, mitochondrial	2.77443e+06	2.00098e+06		1.75888e+06		1.87744e+06
Q9BQE3	TBA1C_HUMAN	TUBA1C	Tubulin alpha-1C chain	1.51228e+07	1.61998e+07	1.82879e+07	1.45784e+07	1.5885e+07	1.54818e+07
Q9BQE4	SELS_HUMAN	SELENOS	Selenoprotein S	1.63784e+06	3.13295e+06	2.64283e+06	2.70314e+06		
Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2	1.54837e+06	1.43152e+06		1.40946e+06	1.37385e+06	1.18138e+06
Q9BQE9	BCL7B_HUMAN	BCL7B	B-cell CLL/lymphoma 7 protein family member B	6.96586e+06	6.16485e+06	6.64576e+06	6.34962e+06	5.40313e+06	5.74958e+06
Q9BQG0	MBB1A_HUMAN	MYBBP1A	Myb-binding protein 1A	1.75359e+07	1.76586e+07	1.72919e+07	1.67808e+07	1.65902e+07	1.64914e+07
Q9BQI0	AIF1L_HUMAN	AIF1L	Allograft inflammatory factor 1-like	1.697e+06	1.06278e+06	940128	1.32695e+06		
Q9BQI6	SLF1_HUMAN	SLF1	SMC5-SMC6 complex localization factor protein 1	278235	234330	272071		282359	289299
Q9BQL6	FERM1_HUMAN	FERMT1	Fermitin family homolog 1			742078	1.21814e+06	1.17989e+06	1.03048e+06
Q9BQP7	MGME1_HUMAN	MGME1	Mitochondrial genome maintenance exonuclease 1	1.89148e+06	2.23381e+06	2.0061e+06	2.11954e+06	2.02591e+06	1.89293e+06
Q9BR61	ACBD6_HUMAN	ACBD6	Acyl-CoA-binding domain-containing protein 6	1.40101e+06	1.39683e+06	1.31587e+06	1.39583e+06	1.51293e+06	1.48575e+06
Q9BR76	COR1B_HUMAN	CORO1B	Coronin-1B	1.16591e+07	1.2016e+07	1.14917e+07	1.13962e+07	1.1249e+07	1.16359e+07
Q9BRA0	LSMD1_HUMAN	NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit		497124				
Q9BRA2	TXD17_HUMAN	TXNDC17	Thioredoxin domain-containing protein 17	3.68628e+07	3.79557e+07	3.81469e+07	3.6107e+07	3.58496e+07	3.80215e+07
Q9BRB3	PIGQ_HUMAN	PIGQ	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q					323353	695449
Q9BRD0	BUD13_HUMAN	BUD13	BUD13 homolog	2.01984e+06	1.59018e+06	1.82797e+06	1.72434e+06	1.53724e+06	2.02233e+06
Q9BRG1	VPS25_HUMAN	VPS25	Vacuolar protein-sorting-associated protein 25	3.23463e+06	3.71878e+06	3.78764e+06	2.95175e+06	3.70361e+06	3.14787e+06
Q9BRJ2	RM45_HUMAN	MRPL45	39S ribosomal protein L45, mitochondrial	6.3919e+06	6.14603e+06	6.47731e+06	6.2022e+06	5.89417e+06	5.90209e+06
Q9BRJ6	CG050_HUMAN	C7orf50	Uncharacterized protein C7orf50	8.77431e+06	1.01759e+07	1.12815e+07	9.41561e+06	9.19027e+06	9.78149e+06
Q9BRK5	CAB45_HUMAN	SDF4	45 kDa calcium-binding protein	3.00261e+06	2.65596e+06	2.79615e+06	2.73294e+06	2.4436e+06	2.25075e+06
Q9BRP1	PDD2L_HUMAN	PDCD2L	Programmed cell death protein 2-like	1.64568e+06	1.37815e+06	1.65144e+06	1.16994e+06	1.63791e+06	1.49318e+06
Q9BRP4	PAAF1_HUMAN	PAAF1	Proteasomal ATPase-associated factor 1	5.07141e+06	5.16772e+06	5.12636e+06	4.7289e+06	4.76399e+06	4.00615e+06
Q9BRP8	PYM1_HUMAN	PYM1	Partner of Y14 and mago	9.25129e+06	8.5796e+06	8.95271e+06	8.58697e+06	8.55584e+06	8.41979e+06
Q9BRQ0	PYGO2_HUMAN	PYGO2	Pygopus homolog 2	1.91134e+06	1.66115e+06	1.82402e+06	1.97917e+06	1.85733e+06	1.81815e+06
Q9BRQ6	MIC25_HUMAN	CHCHD6	MICOS complex subunit MIC25	2.20048e+06	1.99939e+06	2.543e+06	1.97514e+06	1.77124e+06	2.61517e+06
Q9BRQ8	FSP1_HUMAN	AIFM2	Ferroptosis suppressor protein 1	5.03015e+06	5.59578e+06	5.3166e+06	4.68322e+06	5.30592e+06	4.6705e+06
Q9BRR6	ADPGK_HUMAN	ADPGK	ADP-dependent glucokinase	4.25509e+06	4.21781e+06	4.52998e+06	4.12231e+06	4.18639e+06	3.99423e+06
Q9BRR8	GPTC1_HUMAN	GPATCH1	G patch domain-containing protein 1	202439	218414	262744	209989	269243	215524
Q9BRS2	RIOK1_HUMAN	RIOK1	Serine/threonine-protein kinase RIO1	1.71354e+06	1.33768e+06	1.35366e+06	1.67121e+06	1.53384e+06	1.07163e+06
Q9BRT2	UQCC2_HUMAN	UQCC2	Ubiquinol-cytochrome-c reductase complex assembly factor 2	2.19493e+06	2.16235e+06	1.90311e+06	2.0893e+06	2.51931e+06	2.53587e+06
Q9BRT3	MIEN1_HUMAN	MIEN1	Migration and invasion enhancer 1	3.65855e+06	3.12761e+06	2.00244e+06	3.4038e+06	3.20568e+06	2.99672e+06
Q9BRT6	LLPH_HUMAN	LLPH	Protein LLP homolog	3.44264e+06	3.03681e+06	3.74683e+06	3.32079e+06	3.4936e+06	2.89722e+06
Q9BRT9	SLD5_HUMAN	GINS4	DNA replication complex GINS protein SLD5	4.7573e+06	5.04991e+06	5.41539e+06	5.34254e+06	5.42856e+06	4.59961e+06
Q9BRU9	UTP23_HUMAN	UTP23	rRNA-processing protein UTP23 homolog	2.4594e+06	2.32843e+06	2.3937e+06	2.30286e+06	2.27981e+06	2.68327e+06
Q9BRX2	PELO_HUMAN	PELO	Protein pelota homolog	2.06758e+06	2.335e+06	2.42267e+06	2.39063e+06	2.38175e+06	2.56908e+06
Q9BRX5	PSF3_HUMAN	GINS3	DNA replication complex GINS protein PSF3	4.82191e+06	4.8164e+06	5.18629e+06	4.41016e+06	5.24336e+06	4.95163e+06
Q9BRX8	PXL2A_HUMAN	PRXL2A	Peroxiredoxin-like 2A	8.61215e+06	8.26128e+06	8.46801e+06	8.41306e+06	8.42492e+06	7.95711e+06
Q9BRX9	WDR83_HUMAN	WDR83	WD repeat domain-containing protein 83	529081	532051		440813	325878	339799
Q9BRZ2	TRI56_HUMAN	TRIM56	E3 ubiquitin-protein ligase TRIM56	3.12401e+06	3.39315e+06	3.63393e+06	2.83928e+06	3.08631e+06	3.37181e+06
Q9BS18	APC13_HUMAN	ANAPC13	Anaphase-promoting complex subunit 13	307723	182572		231934	147900	
Q9BS26	ERP44_HUMAN	ERP44	Endoplasmic reticulum resident protein 44	1.04419e+07	1.0173e+07	9.10082e+06	1.01523e+07	9.93826e+06	9.77739e+06
Q9BS40	LXN_HUMAN	LXN	Latexin	6.10904e+06	4.0613e+06	5.71245e+06	5.62117e+06	5.09559e+06	5.31503e+06
Q9BSC4	NOL10_HUMAN	NOL10	Nucleolar protein 10	5.02863e+06	5.2808e+06	4.85938e+06	5.01575e+06	5.26514e+06	4.89183e+06
Q9BSD7	NTPCR_HUMAN	NTPCR	Cancer-related nucleoside-triphosphatase	6.08768e+06	5.66983e+06	5.55679e+06	5.66159e+06	5.16125e+06	5.56328e+06
Q9BSE5	SPEB_HUMAN	AGMAT	Agmatinase, mitochondrial	2.96259e+06	3.20912e+06	3.22491e+06	3.13424e+06	3.344e+06	3.38873e+06
Q9BSF4	TIM29_HUMAN	TIMM29	Mitochondrial import inner membrane translocase subunit Tim29	711306	970830	1.46077e+06	1.05517e+06	1.22187e+06	1.10746e+06
Q9BSH4	TACO1_HUMAN	TACO1	Translational activator of cytochrome c oxidase 1	5.66331e+06	5.72829e+06	5.27858e+06	5.57876e+06	6.04789e+06	5.79854e+06
Q9BSH5	HDHD3_HUMAN	HDHD3	Haloacid dehalogenase-like hydrolase domain-containing protein 3	3.27828e+06	2.14442e+06	2.34615e+06	3.26509e+06	2.54378e+06	2.34351e+06
Q9BSJ2	GCP2_HUMAN	TUBGCP2	Gamma-tubulin complex component 2	3.71303e+06	3.65519e+06	3.43593e+06	3.53716e+06	3.44022e+06	3.07945e+06
Q9BSJ8	ESYT1_HUMAN	ESYT1	Extended synaptotagmin-1	1.28798e+07	1.32378e+07	1.39479e+07	1.25621e+07	1.2816e+07	1.35094e+07
Q9BSK4	FEM1A_HUMAN	FEM1A	Protein fem-1 homolog A	271718		383485	387898		
Q9BSL1	UBAC1_HUMAN	UBAC1	Ubiquitin-associated domain-containing protein 1	1.30953e+06	1.16651e+06	1.65424e+06	1.27815e+06	1.58116e+06	1.00407e+06
Q9BSV6	SEN34_HUMAN	TSEN34	tRNA-splicing endonuclease subunit Sen34	2.80518e+06	2.64489e+06	2.94467e+06	2.37866e+06	2.69972e+06	2.77327e+06
Q9BSY4	CHCH5_HUMAN	CHCHD5	Coiled-coil-helix-coiled-coil-helix domain-containing protein 5	867430	706721	540561	3.70591e+06		
Q9BT09	CNPY3_HUMAN	CNPY3	Protein canopy homolog 3	3.61224e+06	3.95638e+06	4.12623e+06	3.72353e+06	4.05686e+06	3.32768e+06
Q9BT22	ALG1_HUMAN	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase	6.10721e+06	5.9513e+06	6.40426e+06	5.74133e+06	6.03398e+06	5.85359e+06
Q9BT25	HAUS8_HUMAN	HAUS8	HAUS augmin-like complex subunit 8	915538	1.02455e+06	1.35513e+06	973202	1.35998e+06	1.15236e+06
Q9BT67	NFIP1_HUMAN	NDFIP1	NEDD4 family-interacting protein 1	68729.5	82999.8	111296	93953	103335	136468
Q9BT73	PSMG3_HUMAN	PSMG3	Proteasome assembly chaperone 3	3.07914e+06	2.88857e+06	3.41592e+06	3.27605e+06	3.30495e+06	3.30379e+06
Q9BT78	CSN4_HUMAN	COPS4	COP9 signalosome complex subunit 4	1.34002e+07	1.37987e+07	1.37812e+07	1.25797e+07	1.29911e+07	1.31914e+07
Q9BTA9	WAC_HUMAN	WAC	WW domain-containing adapter protein with coiled-coil	1.88452e+06	849421	1.15841e+06	1.41243e+06	1.2253e+06	1.28421e+06
Q9BTC0	DIDO1_HUMAN	DIDO1	Death-inducer obliterator 1	4.89614e+06	4.94902e+06	4.70026e+06	4.63066e+06	4.55266e+06	4.59616e+06
Q9BTC8	MTA3_HUMAN	MTA3	Metastasis-associated protein MTA3	250757	228626	339482	239935	214262	
Q9BTD8	RBM42_HUMAN	RBM42	RNA-binding protein 42	5.91028e+06	5.49056e+06	6.09237e+06	5.44308e+06	6.32196e+06	5.84961e+06
Q9BTE1	DCTN5_HUMAN	DCTN5	Dynactin subunit 5	2.22239e+06	2.26951e+06	2.22002e+06	2.44841e+06	2.33947e+06	2.20176e+06
Q9BTE3	MCMBP_HUMAN	MCMBP	Mini-chromosome maintenance complex-binding protein	1.13519e+07	1.17806e+07	1.14628e+07	1.09002e+07	1.07326e+07	1.08592e+07
Q9BTE6	AASD1_HUMAN	AARSD1	Alanyl-tRNA editing protein Aarsd1	6.5342e+06	6.14925e+06	6.61406e+06	5.81816e+06	6.05062e+06	6.50761e+06
Q9BTE7	DCNL5_HUMAN	DCUN1D5	DCN1-like protein 5	2.42882e+06	2.51133e+06	2.5164e+06	2.37555e+06	2.1733e+06	2.18451e+06
Q9BTL3	RAMAC_HUMAN	RAMAC	RNA guanine-N7 methyltransferase activating subunit	3.5422e+06	4.01707e+06	3.638e+06	3.63318e+06	3.70866e+06	3.69545e+06
Q9BTM9	URM1_HUMAN	URM1	Ubiquitin-related modifier 1	4.36706e+06	4.36028e+06	3.73501e+06	3.98404e+06	4.00347e+06	3.82382e+06
Q9BTT0	AN32E_HUMAN	ANP32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E	3.21673e+07	3.12763e+07	3.10201e+07	2.95788e+07	2.99006e+07	2.89268e+07
Q9BTT4	MED10_HUMAN	MED10	Mediator of RNA polymerase II transcription subunit 10	1.16239e+06	942547	1.14911e+06	1.12325e+06	1.14509e+06	1.00736e+06
Q9BTU6	P4K2A_HUMAN	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha	1.31831e+06	1.31423e+06	1.29759e+06	1.44006e+06	1.22281e+06	1.37848e+06
Q9BTV4	TMM43_HUMAN	TMEM43	Transmembrane protein 43	7.69245e+06	7.70282e+06	7.64349e+06	7.95265e+06	7.65278e+06	7.55914e+06
Q9BTW9	TBCD_HUMAN	TBCD	Tubulin-specific chaperone D	8.18628e+06	8.43901e+06	7.82156e+06	8.14586e+06	8.09736e+06	7.51709e+06
Q9BTX1	NDC1_HUMAN	NDC1	Nucleoporin NDC1	4.18759e+06	4.47357e+06	4.82756e+06	4.06871e+06	4.40863e+06	4.71504e+06
Q9BTY7	HGH1_HUMAN	HGH1	Protein HGH1 homolog	3.64e+06	3.68541e+06	3.41385e+06	3.40481e+06	3.91509e+06	3.68367e+06
Q9BTZ2	DHRS4_HUMAN	DHRS4	Dehydrogenase/reductase SDR family member 4	5.00979e+06	5.03863e+06	4.98272e+06	4.37155e+06	5.11171e+06	5.29064e+06
Q9BU02	THTPA_HUMAN	THTPA	Thiamine-triphosphatase	689558	637122	678463	590474	450965	641028
Q9BU23	LMF2_HUMAN	LMF2	Lipase maturation factor 2	692223	617425	643151	742636	781254	650480
Q9BU61	NDUF3_HUMAN	NDUFAF3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	5.78094e+06	6.52188e+06	6.1642e+06	5.92629e+06	5.96208e+06	6.08052e+06
Q9BU76	MMTA2_HUMAN	MMTAG2	Multiple myeloma tumor-associated protein 2	3.71903e+06	3.55218e+06	4.52828e+06	3.73143e+06	3.57081e+06	4.07711e+06
Q9BU89	DOHH_HUMAN	DOHH	Deoxyhypusine hydroxylase	1.71496e+06	1.49467e+06	1.89459e+06	1.69504e+06	1.5961e+06	1.55466e+06
Q9BUB7	TMM70_HUMAN	TMEM70	Transmembrane protein 70, mitochondrial	4.08965e+06	4.16844e+06	4.01551e+06	4.07309e+06	4.2012e+06	3.52942e+06
Q9BUF5	TBB6_HUMAN	TUBB6	Tubulin beta-6 chain	1.48488e+07	1.53085e+07	1.44828e+07	1.45962e+07	1.49497e+07	1.39349e+07
Q9BUH6	PAXX_HUMAN	PAXX	Protein PAXX	1.43578e+07	1.30983e+07	1.29801e+07	1.36542e+07	1.33234e+07	1.28291e+07
Q9BUI4	RPC3_HUMAN	POLR3C	DNA-directed RNA polymerase III subunit RPC3	669249	626281	739367	598972	620726	647070
Q9BUJ2	HNRL1_HUMAN	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	1.46726e+07	1.42279e+07	1.39349e+07	1.37086e+07	1.40226e+07	1.42444e+07
Q9BUK6	MSTO1_HUMAN	MSTO1	Protein misato homolog 1	1.54027e+06	1.68961e+06	1.65566e+06	1.76225e+06	1.8808e+06	1.78655e+06
Q9BUL8	PDC10_HUMAN	PDCD10	Programmed cell death protein 10	1.7788e+07	1.82024e+07	1.51471e+07	1.69819e+07	1.69781e+07	1.52079e+07
Q9BUL9	RPP25_HUMAN	RPP25	Ribonuclease P protein subunit p25	7.12157e+06	6.93469e+06	6.76827e+06	6.59733e+06	6.5064e+06	6.45939e+06
Q9BUM1	G6PC3_HUMAN	G6PC3	Glucose-6-phosphatase 3	1.26111e+06	1.2083e+06	1.69429e+06	874889	1.27982e+06	1.3699e+06
Q9BUN8	DERL1_HUMAN	DERL1	Derlin-1	1.10066e+07	1.03876e+07	1.1106e+07	1.10179e+07	1.00799e+07	9.70555e+06
Q9BUP0	EFHD1_HUMAN	EFHD1	EF-hand domain-containing protein D1	3.84975e+07	4.11546e+07	4.41183e+07	3.95829e+07	3.94198e+07	4.09496e+07
Q9BUP3	HTAI2_HUMAN	HTATIP2	Oxidoreductase HTATIP2	2.10605e+07	2.17253e+07	2.20721e+07	2.05096e+07	2.10927e+07	2.13902e+07
Q9BUQ8	DDX23_HUMAN	DDX23	Probable ATP-dependent RNA helicase DDX23	1.39821e+07	1.43371e+07	1.37794e+07	1.37277e+07	1.39991e+07	1.37238e+07
Q9BUR4	TCAB1_HUMAN	WRAP53	Telomerase Cajal body protein 1	870686	818673	724024	884717	771015	867258
Q9BUR5	MIC26_HUMAN	APOO	MICOS complex subunit MIC26	1.22643e+07	1.21463e+07	1.21261e+07	1.24862e+07	1.19822e+07	1.13463e+07
Q9BUT1	BDH2_HUMAN	BDH2	3-hydroxybutyrate dehydrogenase type 2	2.23305e+06	2.14725e+06	2.16926e+06	2.04622e+06	2.06607e+06	2.05137e+06
Q9BUV8	RCAF1_HUMAN	RAB5IF	Respirasome Complex Assembly Factor 1	2.43177e+06			3.02604e+06		2.16157e+06
Q9BUZ4	TRAF4_HUMAN	TRAF4	TNF receptor-associated factor 4	191213			185539	159105	118435
Q9BV20	MTNA_HUMAN	MRI1	Methylthioribose-1-phosphate isomerase	7.58772e+06	7.68112e+06	7.70135e+06	7.07414e+06	7.32673e+06	7.85848e+06
Q9BV23	ABHD6_HUMAN	ABHD6	Monoacylglycerol lipase ABHD6				550272		
Q9BV38	WDR18_HUMAN	WDR18	WD repeat-containing protein 18	9.96741e+06	9.533e+06	1.03971e+07	9.47899e+06	1.00215e+07	9.61292e+06
Q9BV40	VAMP8_HUMAN	VAMP8	Vesicle-associated membrane protein 8	1.35944e+07	1.44272e+07	1.41463e+07	1.27131e+07	1.2452e+07	1.41517e+07
Q9BV44	THUM3_HUMAN	THUMPD3	THUMP domain-containing protein 3	3.92814e+06	3.67108e+06	3.58621e+06	3.33837e+06	3.15346e+06	3.60449e+06
Q9BV57	MTND_HUMAN	ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1.0506e+07	9.80313e+06	9.81988e+06	1.00076e+07	9.23691e+06	9.9389e+06
Q9BV68	RN126_HUMAN	RNF126	E3 ubiquitin-protein ligase RNF126	5.29688e+06	5.37788e+06	5.71952e+06	5.50922e+06	5.71274e+06	5.65204e+06
Q9BV73	CP250_HUMAN	CEP250	Centrosome-associated protein CEP250	557620	629844	445131	277114	538405	464929
Q9BV79	MECR_HUMAN	MECR	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	1.86214e+06	1.69738e+06	1.55757e+06	1.68984e+06	1.38439e+06	1.57683e+06
Q9BV81	EMC6_HUMAN	EMC6	ER membrane protein complex subunit 6	2.90123e+06	1.97851e+06	2.05311e+06	1.80853e+06	1.45134e+06	2.43898e+06
