Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
Q9NV35	NUD15_HUMAN	NUDT15	Nucleotide triphosphate diphosphatase NUDT15	3.14204e+06
Q9NV56	MRGBP_HUMAN	MRGBP	MRG/MORF4L-binding protein	1.2165e+06
Q9NV70	EXOC1_HUMAN	EXOC1	Exocyst complex component 1	5.45586e+06
Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	8.80471e+07
Q9NVC6	MED17_HUMAN	MED17	Mediator of RNA polymerase II transcription subunit 17	1.9459e+06
Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin	1.23019e+08
Q9NVE7	PANK4_HUMAN	PANK4	4'-phosphopantetheine phosphatase	3.51887e+06
Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	6.29431e+06
Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	2.45639e+07
Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	1.60963e+07
Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17	3.81584e+06
Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	2.72081e+06
Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	1.52086e+07
Q9NVS2	RT18A_HUMAN	MRPS18A	Large ribosomal subunit protein mL66	511625
Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase	7.5801e+06
Q9NVT9	ARMC1_HUMAN	ARMC1	Armadillo repeat-containing protein 1	9.52655e+06
Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1	2.62112e+07
Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28	9.53724e+06
Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	1.41852e+07
Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	8.25672e+06
Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1	2.08464e+07
Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator	1.66794e+07
Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1	7.28123e+06
Q9NWU2	GID8_HUMAN	GID8	Glucose-induced degradation protein 8 homolog	3.85346e+06
Q9NWU5	RM22_HUMAN	MRPL22	Large ribosomal subunit protein uL22m	2.1527e+07
Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein	2.55546e+07
Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1	7.37578e+06
Q9NWW5	CLN6_HUMAN	CLN6	Ceroid-lipofuscinosis neuronal protein 6	1.26397e+07
Q9NWY4	HPF1_HUMAN	HPF1	Histone PARylation factor 1	2.95063e+06
Q9NWZ3	IRAK4_HUMAN	IRAK4	Interleukin-1 receptor-associated kinase 4	6.35577e+06
Q9NWZ8	GEMI8_HUMAN	GEMIN8	Gem-associated protein 8	2.44025e+06
Q9NX02	NALP2_HUMAN	NLRP2	NACHT, LRR and PYD domains-containing protein 2	3.9651e+06
Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	1.50626e+07
Q9NX20	RM16_HUMAN	MRPL16	Large ribosomal subunit protein uL16m	1.03317e+07
Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	4.89263e+07
Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	7.76906e+06
Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	5.56519e+06
Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	1.38602e+08
Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1	1.48562e+07
Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	2.60758e+06
Q9NXR1	NDE1_HUMAN	NDE1	Nuclear distribution protein nudE homolog 1	1.02133e+07
Q9NXR7	BABA2_HUMAN	BABAM2	BRISC and BRCA1-A complex member 2	2.98131e+06
Q9NXU5	ARL15_HUMAN	ARL15	ADP-ribosylation factor-like protein 15	2.48934e+06
Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein	8.58262e+06
Q9NXW2	DJB12_HUMAN	DNAJB12	DnaJ homolog subfamily B member 12	5.01752e+06
Q9NY15	STAB1_HUMAN	STAB1	Stabilin-1	1.34991e+06
Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	2.12756e+07
Q9NY61	AATF_HUMAN	AATF	Protein AATF	7.58066e+06
Q9NYB0	TE2IP_HUMAN	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1	7.767e+06
Q9NYB9	ABI2_HUMAN	ABI2	Abl interactor 2	1.1032e+06
Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	8.39106e+07
Q9NYJ8	TAB2_HUMAN	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	2.72681e+06
Q9NYL2	M3K20_HUMAN	MAP3K20	Mitogen-activated protein kinase kinase kinase 20	8.20814e+06
Q9NYL4	FKB11_HUMAN	FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11	8.86671e+06
Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	4.14567e+07
Q9NYR9	KBRS2_HUMAN	NKIRAS2	NF-kappa-B inhibitor-interacting Ras-like protein 2	2.20604e+06
Q9NYT0	PLEK2_HUMAN	PLEK2	Pleckstrin-2	3.65537e+06
Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	3.64763e+07
Q9NYV4	CDK12_HUMAN	CDK12	Cyclin-dependent kinase 12	3.4055e+06
Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	7.29138e+06
Q9NZ08	ERAP1_HUMAN	ERAP1	Endoplasmic reticulum aminopeptidase 1	1.1542e+07
Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10	1.43151e+06
Q9NZ43	USE1_HUMAN	USE1	Vesicle transport protein USE1	2.39986e+06
Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1	2.87336e+07
Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	2.55766e+07
Q9NZD8	SPG21_HUMAN	SPG21	Maspardin	1.1487e+07
Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	3.42472e+06
Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	8.2487e+07
Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	2.39326e+07
Q9NZM3	ITSN2_HUMAN	ITSN2	Intersectin-2	8.27856e+06
Q9NZN3	EHD3_HUMAN	EHD3	EH domain-containing protein 3	605368
Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2	3.49789e+08
Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	2.67193e+06
Q9NZQ3	SPN90_HUMAN	NCKIPSD	NCK-interacting protein with SH3 domain	5.63715e+06
Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor	1.16058e+07
Q9NZU5	LMCD1_HUMAN	LMCD1	LIM and cysteine-rich domains protein 1	8.56745e+07
Q9P000	COMD9_HUMAN	COMMD9	COMM domain-containing protein 9	4.00285e+06
Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog	2.05008e+07
Q9P015	RM15_HUMAN	MRPL15	Large ribosomal subunit protein uL15m	9.20611e+06
Q9P016	THYN1_HUMAN	THYN1	Thymocyte nuclear protein 1	2.67938e+08
Q9P031	TAP26_HUMAN	CCDC59	Thyroid transcription factor 1-associated protein 26	3.06168e+06
Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	3.68068e+06
Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	3.17211e+07
Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	1.12491e+07
Q9P0J1	PDP1_HUMAN	PDP1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	4.23824e+06
Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin	7.91333e+06
Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A	3.11427e+07
Q9P0M6	H2AW_HUMAN	MACROH2A2	Core histone macro-H2A.2	1.5984e+07
Q9P0M9	RM27_HUMAN	MRPL27	Large ribosomal subunit protein bL27m	9.7156e+06
Q9P0P0	RN181_HUMAN	RNF181	E3 ubiquitin-protein ligase RNF181	1.91189e+06
Q9P0P8	MRES1_HUMAN	MTRES1	Mitochondrial transcription rescue factor 1	1.11815e+07
Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10	2.46235e+07
Q9P107	GMIP_HUMAN	GMIP	GEM-interacting protein	1.06647e+06
Q9P1Y5	CAMP3_HUMAN	CAMSAP3	Calmodulin-regulated spectrin-associated protein 3	6.25754e+06
Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522	4.84592e+06
Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	6.97962e+07
Q9P260	RELCH_HUMAN	RELCH	RAB11-binding protein RELCH	3.21912e+06
Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B	783339
Q9P270	SLAI2_HUMAN	SLAIN2	SLAIN motif-containing protein 2	1.5306e+07
Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein	1.3956e+07
Q9P289	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26	3.2415e+07
Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	3.74769e+06
Q9P2B4	CT2NL_HUMAN	CTTNBP2NL	CTTNBP2 N-terminal-like protein	2.48733e+06
Q9P2D3	HTR5B_HUMAN	HEATR5B	HEAT repeat-containing protein 5B	2.13519e+06
Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	1.03863e+08
Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	2.16501e+06
Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic	3.07443e+07
Q9P2K5	MYEF2_HUMAN	MYEF2	Myelin expression factor 2	8.32416e+06
Q9P2M7	CING_HUMAN	CGN	Cingulin	1.44931e+07
Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27	9.96139e+06
Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5	7.68845e+06
Q9P2R7	SUCB1_HUMAN	SUCLA2	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	1.75178e+07
Q9P2T1	GMPR2_HUMAN	GMPR2	GMP reductase 2	1.71176e+07
Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10	4.93206e+06
Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2	8.52154e+06
Q9UBB9	TFP11_HUMAN	TFIP11	Tuftelin-interacting protein 11	2.68207e+06
Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	1.40443e+07
Q9UBC5	MYO1A_HUMAN	MYO1A	Unconventional myosin-Ia	3.26373e+06
Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	4.31008e+07
Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2	1.97459e+07
Q9UBI1	COMD3_HUMAN	COMMD3	COMM domain-containing protein 3	4.11119e+06
Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	4.65931e+07
Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2	5.13084e+06
Q9UBN4;Q9UL62	TRPC4_HUMAN;TRPC5_HUMAN	TRPC4;TRPC5	Short transient receptor potential channel 4	3.23937e+06
Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29	3.0923e+07
Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K	2.35151e+07
Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase	2.30031e+07
Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z	4.77428e+07
Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	2.40422e+07
Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2	2.66288e+07
Q9UBT7	CTNL1_HUMAN	CTNNAL1	Alpha-catulin	2.60769e+06
Q9UBU9	NXF1_HUMAN	NXF1	Nuclear RNA export factor 1	1.63969e+07
Q9UBV2	SE1L1_HUMAN	SEL1L	Protein sel-1 homolog 1	2.46626e+07
Q9UBV8	PEF1_HUMAN	PEF1	Peflin	5.21938e+07
Q9UBW5	BIN2_HUMAN	BIN2	Bridging integrator 2	4.02234e+06
Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a	3.66864e+06
Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier	5.57858e+06
Q9UBY9	HSPB7_HUMAN	HSPB7	Heat shock protein beta-7	5.04767e+07
Q9UD71	PPR1B_HUMAN	PPP1R1B	Protein phosphatase 1 regulatory subunit 1B	9.71728e+06
Q9UDT6	CLIP2_HUMAN	CLIP2	CAP-Gly domain-containing linker protein 2	6.36438e+06
Q9UDY2	ZO2_HUMAN	TJP2	Tight junction protein ZO-2	1.63441e+07
Q9UDY4	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4	7.34855e+06
Q9UEE9	CFDP1_HUMAN	CFDP1	Craniofacial development protein 1	1.07944e+07
Q9UEU0	VTI1B_HUMAN	VTI1B	Vesicle transport through interaction with t-SNAREs homolog 1B	5.1534e+06
Q9UEW8	STK39_HUMAN	STK39	STE20/SPS1-related proline-alanine-rich protein kinase	6.36198e+06
Q9UEY8	ADDG_HUMAN	ADD3	Gamma-adducin	1.81071e+07
Q9UFC0	LRWD1_HUMAN	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1	1.68901e+06
Q9UFG5	CS025_HUMAN	C19orf25	UPF0449 protein C19orf25	2.2258e+06
Q9UFW8	CGBP1_HUMAN	CGGBP1	CGG triplet repeat-binding protein 1	7.55382e+06
Q9UG63	ABCF2_HUMAN	ABCF2	ATP-binding cassette sub-family F member 2	2.35816e+07
Q9UGI8	TES_HUMAN	TES	Testin	1.52988e+08
Q9UGK3	STAP2_HUMAN	STAP2	Signal-transducing adaptor protein 2	3.52475e+06
Q9UGM3	DMBT1_HUMAN	DMBT1	Deleted in malignant brain tumors 1 protein	3.35819e+07
Q9UGM6	SYWM_HUMAN	WARS2	Tryptophan--tRNA ligase, mitochondrial	6.16026e+06
Q9UGP4	LIMD1_HUMAN	LIMD1	LIM domain-containing protein 1	7.43516e+06
Q9UGP8	SEC63_HUMAN	SEC63	Translocation protein SEC63 homolog	5.52905e+06
Q9UGR2	Z3H7B_HUMAN	ZC3H7B	Zinc finger CCCH domain-containing protein 7B	6.17923e+06
Q9UGT4	SUSD2_HUMAN	SUSD2	Sushi domain-containing protein 2	4.66947e+06
Q9UGV2	NDRG3_HUMAN	NDRG3	Protein NDRG3	4.57659e+06
Q9UH65	SWP70_HUMAN	SWAP70	Switch-associated protein 70	1.1034e+07
Q9UH99	SUN2_HUMAN	SUN2	SUN domain-containing protein 2	1.13004e+07
Q9UHA4	LTOR3_HUMAN	LAMTOR3	Ragulator complex protein LAMTOR3	2.06286e+07
Q9UHB6	LIMA1_HUMAN	LIMA1	LIM domain and actin-binding protein 1	8.61011e+07
Q9UHB7	AFF4_HUMAN	AFF4	AF4/FMR2 family member 4	935820
Q9UHB9	SRP68_HUMAN	SRP68	Signal recognition particle subunit SRP68	1.56864e+07
Q9UHD1	CHRD1_HUMAN	CHORDC1	Cysteine and histidine-rich domain-containing protein 1	7.54953e+06
Q9UHD8	SEPT9_HUMAN	SEPTIN9	Septin-9	7.10326e+07
Q9UHD9	UBQL2_HUMAN	UBQLN2	Ubiquilin-2	1.5822e+07
Q9UHG2	PCS1N_HUMAN	PCSK1N	ProSAAS	1.62766e+07
Q9UHG3	PCYOX_HUMAN	PCYOX1	Prenylcysteine oxidase 1	1.03414e+07
Q9UHL4	DPP2_HUMAN	DPP7	Dipeptidyl peptidase 2	1.63917e+07
Q9UHQ4	BAP29_HUMAN	BCAP29	B-cell receptor-associated protein 29	1.13967e+07
Q9UHQ9	NB5R1_HUMAN	CYB5R1	NADH-cytochrome b5 reductase 1	8.13597e+06
Q9UHR4	BI2L1_HUMAN	BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1	8.58515e+06
Q9UHR5	S30BP_HUMAN	SAP30BP	SAP30-binding protein	9.54745e+06
Q9UHV9	PFD2_HUMAN	PFDN2	Prefoldin subunit 2	3.31002e+07
Q9UHX1	PUF60_HUMAN	PUF60	Poly(U)-binding-splicing factor PUF60	4.95098e+07
Q9UHY1	NRBP_HUMAN	NRBP1	Nuclear receptor-binding protein	3.14213e+06
Q9UHY7	ENOPH_HUMAN	ENOPH1	Enolase-phosphatase E1	6.81793e+06
Q9UI08	EVL_HUMAN	EVL	Ena/VASP-like protein	6.69552e+06
Q9UI09	NDUAC_HUMAN	NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	1.59759e+07
Q9UI10	EI2BD_HUMAN	EIF2B4	Translation initiation factor eIF-2B subunit delta	1.13922e+07
Q9UI12	VATH_HUMAN	ATP6V1H	V-type proton ATPase subunit H	3.84141e+07
Q9UI15	TAGL3_HUMAN	TAGLN3	Transgelin-3	3.85563e+06
Q9UI30	TR112_HUMAN	TRMT112	Multifunctional methyltransferase subunit TRM112-like protein	1.13806e+07
Q9UIA9	XPO7_HUMAN	XPO7	Exportin-7	5.9503e+06
Q9UIC8	LCMT1_HUMAN	LCMT1	Leucine carboxyl methyltransferase 1	1.51671e+06
Q9UIF9	BAZ2A_HUMAN	BAZ2A	Bromodomain adjacent to zinc finger domain protein 2A	1.27814e+07
Q9UIG0	BAZ1B_HUMAN	BAZ1B	Tyrosine-protein kinase BAZ1B	5.36034e+06
Q9UII2	ATIF1_HUMAN	ATP5IF1	ATPase inhibitor, mitochondrial	2.13024e+07
Q9UIJ7	KAD3_HUMAN	AK3	GTP:AMP phosphotransferase AK3, mitochondrial	2.39677e+07
Q9UIL1	SCOC_HUMAN	SCOC	Short coiled-coil protein	4.96481e+06
Q9UIQ6	LCAP_HUMAN	LNPEP	Leucyl-cystinyl aminopeptidase	3.71509e+06
Q9UJ41	RABX5_HUMAN	RABGEF1	Rab5 GDP/GTP exchange factor	3.06194e+06
Q9UJ68	MSRA_HUMAN	MSRA	Mitochondrial peptide methionine sulfoxide reductase	7.97949e+06
Q9UJ70	NAGK_HUMAN	NAGK	N-acetyl-D-glucosamine kinase	1.89512e+07
Q9UJA5	TRM6_HUMAN	TRMT6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	2.50191e+06
Q9UJC5	SH3L2_HUMAN	SH3BGRL2	SH3 domain-binding glutamic acid-rich-like protein 2	1.07917e+07
Q9UJJ9	GNPTG_HUMAN	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma	6.81148e+06
Q9UJS0	S2513_HUMAN	SLC25A13	Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial	5.81817e+06
Q9UJU6	DBNL_HUMAN	DBNL	Drebrin-like protein	5.81946e+07
Q9UJV9	DDX41_HUMAN	DDX41	Probable ATP-dependent RNA helicase DDX41	2.33686e+06
Q9UJW0	DCTN4_HUMAN	DCTN4	Dynactin subunit 4	7.03724e+06
Q9UJX2	CDC23_HUMAN	CDC23	Cell division cycle protein 23 homolog	1.43406e+06
Q9UJY1	HSPB8_HUMAN	HSPB8	Heat shock protein beta-8	3.57464e+07
Q9UJY5	GGA1_HUMAN	GGA1	ADP-ribosylation factor-binding protein GGA1	1.34589e+07
Q9UJZ1	STML2_HUMAN	STOML2	Stomatin-like protein 2, mitochondrial	2.32979e+07
Q9UK41	VPS28_HUMAN	VPS28	Vacuolar protein sorting-associated protein 28 homolog	5.02088e+06
Q9UK53	ING1_HUMAN	ING1	Inhibitor of growth protein 1	1.0136e+06
Q9UK76	JUPI1_HUMAN	JPT1	Jupiter microtubule associated homolog 1	4.3537e+07
Q9UKA9	PTBP2_HUMAN	PTBP2	Polypyrimidine tract-binding protein 2	308414
Q9UKD2	MRT4_HUMAN	MRTO4	mRNA turnover protein 4 homolog	1.45489e+07
Q9UKF6	CPSF3_HUMAN	CPSF3	Cleavage and polyadenylation specificity factor subunit 3	4.74509e+06
Q9UKG1	DP13A_HUMAN	APPL1	DCC-interacting protein 13-alpha	1.83475e+07
Q9UKJ3	GPTC8_HUMAN	GPATCH8	G patch domain-containing protein 8	1.83571e+06
Q9UKK3	PARP4_HUMAN	PARP4	Protein mono-ADP-ribosyltransferase PARP4	1.24605e+07
Q9UKK9	NUDT5_HUMAN	NUDT5	ADP-sugar pyrophosphatase	3.72907e+07
Q9UKL0	RCOR1_HUMAN	RCOR1	REST corepressor 1	5.33457e+06
Q9UKM9	RALY_HUMAN	RALY	RNA-binding protein Raly	1.26636e+08
Q9UKN8	TF3C4_HUMAN	GTF3C4	General transcription factor 3C polypeptide 4	1.15355e+06
Q9UKS6	PACN3_HUMAN	PACSIN3	Protein kinase C and casein kinase substrate in neurons protein 3	7.75222e+06
Q9UKU7	ACAD8_HUMAN	ACAD8	Isobutyryl-CoA dehydrogenase, mitochondrial	1.15546e+07
Q9UKU9	ANGL2_HUMAN	ANGPTL2	Angiopoietin-related protein 2	507993
Q9UKV3	ACINU_HUMAN	ACIN1	Apoptotic chromatin condensation inducer in the nucleus	2.60323e+07
Q9UKV8	AGO2_HUMAN	AGO2	Protein argonaute-2	8.03283e+06
Q9UKX7	NUP50_HUMAN	NUP50	Nuclear pore complex protein Nup50	1.70355e+07
Q9UKY7	CDV3_HUMAN	CDV3	Protein CDV3 homolog	5.97591e+07
Q9UKZ1	CNO11_HUMAN	CNOT11	CCR4-NOT transcription complex subunit 11	4.58673e+06
Q9UL15	BAG5_HUMAN	BAG5	BAG family molecular chaperone regulator 5	1.40907e+07
Q9UL18	AGO1_HUMAN	AGO1	Protein argonaute-1	2.14321e+06
Q9UL25	RAB21_HUMAN	RAB21	Ras-related protein Rab-21	1.33068e+07
Q9UL40	ZN346_HUMAN	ZNF346	Zinc finger protein 346	3.79426e+06
Q9UL46	PSME2_HUMAN	PSME2	Proteasome activator complex subunit 2	3.67345e+07
Q9ULA0	DNPEP_HUMAN	DNPEP	Aspartyl aminopeptidase	2.33554e+07
Q9ULC3	RAB23_HUMAN	RAB23	Ras-related protein Rab-23	1.48301e+07
Q9ULC4	MCTS1_HUMAN	MCTS1	Malignant T-cell-amplified sequence 1	1.74114e+07
Q9ULC5	ACSL5_HUMAN	ACSL5	Long-chain-fatty-acid--CoA ligase 5	9.91434e+06
Q9ULR0	ISY1_HUMAN	ISY1	Pre-mRNA-splicing factor ISY1 homolog	7.48817e+06
Q9ULT8	HECD1_HUMAN	HECTD1	E3 ubiquitin-protein ligase HECTD1	3.42776e+06
Q9ULU4	ZMYD8_HUMAN	ZMYND8	MYND-type zinc finger-containing chromatin reader ZMYND8	969249
Q9ULV3	CIZ1_HUMAN	CIZ1	Cip1-interacting zinc finger protein	2.02381e+06
Q9ULV4	COR1C_HUMAN	CORO1C	Coronin-1C	1.36716e+08
Q9ULX3	NOB1_HUMAN	NOB1	RNA-binding protein NOB1	6.62178e+06
Q9ULX6	AKP8L_HUMAN	AKAP8L	A-kinase anchor protein 8-like	1.25202e+06
Q9ULZ3	ASC_HUMAN	PYCARD	Apoptosis-associated speck-like protein containing a CARD	3.26446e+07
Q9UM00	TMCO1_HUMAN	TMCO1	Calcium load-activated calcium channel	1.58372e+07
Q9UM07	PADI4_HUMAN	PADI4	Protein-arginine deiminase type-4	1.07071e+07
Q9UM22	EPDR1_HUMAN	EPDR1	Mammalian ependymin-related protein 1	9.09134e+06
Q9UM54	MYO6_HUMAN	MYO6	Unconventional myosin-VI	1.74861e+07
Q9UMS0	NFU1_HUMAN	NFU1	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	1.3357e+07
Q9UMS4	PRP19_HUMAN	PRPF19	Pre-mRNA-processing factor 19	6.59147e+07
Q9UMS6	SYNP2_HUMAN	SYNPO2	Synaptopodin-2	4.55488e+08
Q9UMX0	UBQL1_HUMAN	UBQLN1	Ubiquilin-1	2.02289e+07
Q9UMX5	NENF_HUMAN	NENF	Neudesin	1.69088e+07
Q9UMY1	NOL7_HUMAN	NOL7	Nucleolar protein 7	1.02957e+07
Q9UMY4	SNX12_HUMAN	SNX12	Sorting nexin-12	2.23296e+07
Q9UMZ2	SYNRG_HUMAN	SYNRG	Synergin gamma	4.86596e+06
Q9UN36	NDRG2_HUMAN	NDRG2	Protein NDRG2	4.16118e+07
Q9UN37	VPS4A_HUMAN	VPS4A	Vacuolar protein sorting-associated protein 4A	2.25148e+07
Q9UN81	LORF1_HUMAN	L1RE1	LINE-1 retrotransposable element ORF1 protein	1.97391e+07
Q9UN86	G3BP2_HUMAN	G3BP2	Ras GTPase-activating protein-binding protein 2	3.08437e+07
Q9UNE7	CHIP_HUMAN	STUB1	E3 ubiquitin-protein ligase CHIP	1.51283e+07
Q9UNF0	PACN2_HUMAN	PACSIN2	Protein kinase C and casein kinase substrate in neurons protein 2	4.75233e+07
Q9UNF1	MAGD2_HUMAN	MAGED2	Melanoma-associated antigen D2	1.01893e+07
Q9UNH7	SNX6_HUMAN	SNX6	Sorting nexin-6	4.36373e+07
Q9UNK0	STX8_HUMAN	STX8	Syntaxin-8	4.33192e+06
Q9UNL2	SSRG_HUMAN	SSR3	Translocon-associated protein subunit gamma	4.39216e+06
Q9UNM6	PSD13_HUMAN	PSMD13	26S proteasome non-ATPase regulatory subunit 13	3.9322e+07
Q9UNN5	FAF1_HUMAN	FAF1	FAS-associated factor 1	8.76694e+06
Q9UNP9	PPIE_HUMAN	PPIE	Peptidyl-prolyl cis-trans isomerase E	2.17356e+07
Q9UNQ2	DIM1_HUMAN	DIMT1	Probable dimethyladenosine transferase	8.85595e+06
Q9UNS1	TIM_HUMAN	TIMELESS	Protein timeless homolog	6.49168e+06
Q9UNS2	CSN3_HUMAN	COPS3	COP9 signalosome complex subunit 3	1.00796e+07
Q9UNX3	RL26L_HUMAN	RPL26L1	Ribosomal protein uL24-like	1.08338e+07
Q9UNX4	WDR3_HUMAN	WDR3	WD repeat-containing protein 3	3.80918e+06
Q9UNZ2	NSF1C_HUMAN	NSFL1C	NSFL1 cofactor p47	6.80347e+07
Q9UNZ5	L10K_HUMAN	C19orf53	Leydig cell tumor 10 kDa protein homolog	1.04666e+07
Q9UPN3	MACF1_HUMAN	MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5	1.80141e+07
Q9UPN7	PP6R1_HUMAN	PPP6R1	Serine/threonine-protein phosphatase 6 regulatory subunit 1	1.09836e+07
